wohnviertel,reinverm_median,reinverm_gini,auslaender,population
Altstadt Grossbasel,34167,0.930,739,2605
Vorstädte,44249,0.943,1913,5020
Am Ring,35245,0.865,3913,10804
Breite,13462,0.842,2953,8932
St. Alban,56238,0.911,3705,11151
Gundeldingen,11338,0.860,7427,18865
Bruderholz,62152,0.959,2215,9248
Bachletten,35928,0.857,2906,13519
Gotthelf,29072,0.821,1898,6870
Iselin,8713,0.858,6416,16893
St. Johann,7124,0.868,8051,18682
Altstadt Kleinbasel,8871,0.906,912,2451
Clara,8303,0.865,1910,4079
Wettstein,28136,0.855,1729,5528
Hirzbrunnen,16113,0.849,2332,9332
Rosental,3000,0.880,3726,6695
Matthäus,4561,0.888,8008,15816
Klybeck,1500,0.882,3818,7287
Kleinhüningen,2678,0.864,1350,2846
Riehen,46952,0.875,5590,21348
Bettingen,78649,0.948,287,1190
